Sprite Conversion Manifest
==========================
Source directory : C:\Users\pedro\Desktop\MARIOSRC
Output directory : C:\Users\pedro\Desktop\MARIOSRC\sdl2_port\sprites
Total converted : 167
Total skipped   : 0

Source File          Inc File             Constant                W    H   Pixels
-------------------- -------------------- -------------------- ---- ---- --------
BLOCK.000            BLOCK000.inc         Block000               20   14      280
BLOCK.001            BLOCK001.inc         Block001               20   14      280
BRICK0.000           BRICK0000.inc        Brick0000              20   14      280
BRICK0.001           BRICK0001.inc        Brick0001              20   14      280
BRICK0.002           BRICK0002.inc        Brick0002              20   14      280
BRICK1.000           BRICK1000.inc        Brick1000              20   14      280
BRICK1.001           BRICK1001.inc        Brick1001              20   14      280
BRICK1.002           BRICK1002.inc        Brick1002              20   14      280
BRICK2.000           BRICK2000.inc        Brick2000              20   14      280
BRICK2.001           BRICK2001.inc        Brick2001              20   14      280
BRICK2.002           BRICK2002.inc        Brick2002              20   14      280
BROWN.000            BROWN000.inc         Brown000               20   14      280
BROWN.001            BROWN001.inc         Brown001               20   14      280
BROWN.002            BROWN002.inc         Brown002               20   14      280
BROWN.003            BROWN003.inc         Brown003               20   14      280
BROWN.004            BROWN004.inc         Brown004               20   14      280
CHAMP.000            CHAMP000.inc         Champ000               20   14      280
CHIBIBO.000          CHIBIBO000.inc       Chibibo000             20   14      280
CHIBIBO.001          CHIBIBO001.inc       Chibibo001             20   14      280
CHIBIBO.002          CHIBIBO002.inc       Chibibo002             20   14      280
CHIBIBO.003          CHIBIBO003.inc       Chibibo003             20   14      280
COIN.000             COIN000.inc          Coin000                20   14      280
DES.000              DES000.inc           Des000                 20   14      280
DES.001              DES001.inc           Des001                 20   14      280
DES.002              DES002.inc           Des002                 20   14      280
DES.003              DES003.inc           Des003                 20   14      280
DES.004              DES004.inc           Des004                 20   14      280
DONUT.000            DONUT000.inc         Donut000               20   14      280
DONUT.001            DONUT001.inc         Donut001               20   14      280
EXIT.000             EXIT000.inc          Exit000                20   14      280
EXIT.001             EXIT001.inc          Exit001                20   14      280
F.000                F000.inc             F000                   20   14      280
F.001                F001.inc             F001                   20   14      280
F.002                F002.inc             F002                   20   14      280
F.003                F003.inc             F003                   20   14      280
FALL.000             FALL000.inc          Fall000                20   14      280
FALL.001             FALL001.inc          Fall001                20   14      280
FENCE.000            FENCE000.inc         Fence000               20   14      280
FENCE.001            FENCE001.inc         Fence001               20   14      280
FIRE.000             FIRE000.inc          Fire000                12    7       84
FIRE.001             FIRE001.inc          Fire001                12    7       84
FISH.000             FISH000.inc          Fish000                20   15      300
FISH.001             FISH001.inc          Fish001                20   14      280
FJLUI.000            FJLUI000.inc         Fjlui000               20   28      560
FJLUI.001            FJLUI001.inc         Fjlui001               20   28      560
FJMAR.000            FJMAR000.inc         Fjmar000               20   28      560
